Library System,Library Branch,Latitude,Longitude 
Guelph Public Library,West End,43.524409,-80.292392
Guelph Public Library,Scottsdale,43.514929,-80.237733
Guelph Public Library,Westminster Square,43.502687,-80.187831
Guelph Public Library,Main Library,43.545634,-80.252836
Guelph Public Library,Bullfrog Mall,43.561557,-80.249938
Guelph Public Library,East Side,43.566514,-80.212197
