X,Y,OBJECTID,NAME,HTML,FULLADDR,AGENCYURL
598082.949000001884997,4798821.3088799994439,5129,Burlington Public Library - Central,https://www.bpl.on.ca/,,
595655.001200002618134,4805716.633459998294711,5130,Burlington Public Library - Alton,https://www.bpl.on.ca/,,
597108.219290002249181,4803960.3296499997377,5131,Burlington Public Library - Tansley Wood,https://www.bpl.on.ca/,,
600293.323270002380013,4802799.4947799984366,5132,Burlington Public Library - Appleby,https://www.bpl.on.ca/,,
593495.045650002546608,4801584.028649998828769,5133,Burlington Public Library - Brant Hills,https://www.bpl.on.ca/,,
586078.26159000210464,4808839.851109998300672,5134,Burlington Public Library - Kilbride,https://www.bpl.on.ca/,,
594497.282110001891851,4797022.92709999904,5135,Burlington Public Library - Aldershot,https://www.bpl.on.ca/,,
