OBJECTID,NAME,ADDRESS,TYPE,X_COORD,Y_COORD,CONCESSION,LABEL,YEAR_BUILT,TOWNAREA,DEPTRESP,LEASED,LEASER
113,DRIVE SHED,9350 MARKHAM RD,Museum,639181.661077604,4861531.83511427,G4,Drive Shed,1876,Markham,Culture,N, 
114,9TH LINE BAPTIST CHURCH,9350 MARKHAM RD,Museum,639203.256853569,4861536.94734892,G4,9th Line Baptist Church,1848,Markham,Culture,N, 
115,CHAPMAN HOUSE,9350 MARKHAM RD,Museum,639228.683215302,4861540.77268854,G4,Chapman House,1832,Markham,Culture,N, 
116,CHAPMAN OUTHOUSE,9350 MARKHAM RD,Museum,639220.07318097,4861555.72253617,G4,Chapman Outhouse,1832,Markham,Culture,N, 
117,HOOVER HOUSE,9350 MARKHAM RD,Museum,639253.48409805,4861545.28311879,G4,Hoover House,1824,Markham,Culture,N, 
118,STEELES AVE BAKE OVEN,9350 MARKHAM RD,Museum,639252.757002453,4861557.4568393,G4,Steeles Ave Bake Oven,1824,Markham,Culture,N, 
119,NIGHSWANDER SMOKE HOUSE,9350 MARKHAM RD,Museum,639245.387250001,4861556.0549,G4,Nighswander Smoke House,1824,Markham,Culture,N, 
120,POTTERY BUILDING,9350 MARKHAM RD,Museum,639285.064756319,4861565.10203526,G4,Pottery Building,1975,Markham,Culture,N, 
121,MOUNT JOY SCHOOL,9350 MARKHAM RD,Museum,639308.336001599,4861555.68581613,G4,Mount Joy School,1907,Markham,Culture,N, 
122,PAVILION,9350 MARKHAM RD,Museum,639297.887816028,4861524.84471183,G4,Pavilion,1996,Markham,Culture,N, 
123,CEDAR GROVE BLACKSMITH SHOP,9350 MARKHAM RD,Museum,639258.427662669,4861508.30457952,G4,Cedar Grove Blacksmith Shop,1862,Markham,Culture,N, 
124,HONEY HOUSE,9350 MARKHAM RD,Museum,639240.673632681,4861506.7846033,G4,Honey House,1874,Markham,Culture,N, 
125,PRINT SHOP,9350 MARKHAM RD,Museum,639216.633808504,4861501.4599753,G4,Print Shop,1930,Markham,Culture,N, 
126,H WILSON VARIETY HALL,9350 MARKHAM RD,Museum,639213.896891483,4861470.82675829,G4,H Wilson Variety Hall,1875,Markham,Culture,N, 
127,HARNESS SHOP,9350 MARKHAM RD,Museum,639265.901717031,4861489.98512129,G4,Harness Shop,1860,Markham,Culture,N, 
128,HYDRO SHED,9350 MARKHAM RD,Museum,639155.928923692,4861478.51376276,G4,Hydro Shed,1876,Markham,Culture,N, 
129,HOUSSER BARN (WORKSHOP),9350 MARKHAM RD,Museum,639250.639575714,4861471.61465529,G4,Housser Barn (Workshop),1900,Markham,Culture,N, 
130,HOUSSER HOUSE,9350 MARKHAM RD,Museum,639269.966936905,4861455.24656849,G4,Housser House,1840,Markham,Culture,N, 
131,HOUSSER OUTHOUSE,9350 MARKHAM RD,Museum,639257.940100753,4861463.08721865,G4,Housser Outhouse,1840,Markham,Culture,N, 
132,BANDSTAND,9350 MARKHAM RD,Museum,639313.324381232,4861492.21249345,G4,Bandstand,1990,Markham,Culture,N, 
133,WEE EMPORIUM,9350 MARKHAM RD,Museum,639329.385923474,4861460.58091848,G4,Wee Emporium,1990,Markham,Culture,N, 
134,CIDER MILL,9350 MARKHAM RD,Museum,639143.656666927,4861412.64009389,G4,Cider Mill,1870,Markham,Culture,N, 
135,SAW MILL,9350 MARKHAM RD,Museum,639146.161177435,4861370.59287344,G4,Saw Mill,1865,Markham,Culture,N, 
136,STRICKLER HOUSE,9350 MARKHAM RD,Museum,639286.689348105,4861423.21112037,G4,Strickler House,1855,Markham,Culture,N, 
137,STRICKLER BARN,9350 MARKHAM RD,Museum,639293.43611922,4861388.02476664,G4,Strickler Barn,1855,Markham,Culture,N, 
138,STRICKLER TRACTOR SHED,9350 MARKHAM RD,Museum,639282.235006525,4861359.48091957,G4,Strickler Tractor Shed,1855,Markham,Culture,N, 
139,LOCUST HILL STATION,9350 MARKHAM RD,Museum,639210.267445954,4861366.28363674,G4,Locust Hill Station,1936,Markham,Culture,N, 
140,MINI TRAIN (MHS),9350 MARKHAM RD,Museum,639192.5754,4861371.39335,G4,Mini Train (MHS),1990,Markham,Culture,N, 
141,CABOOSE,9350 MARKHAM RD,Museum,639200.98025181,4861404.8474938,G4,Caboose,1991,Markham,Culture,N, 
142,ACADIA RAILWAY CAR,9350 MARKHAM RD,Museum,639208.465563441,4861387.6791118,G4,Acadia Railway Car,1921,Markham,Culture,N, 
144,RAIL PUMP CAR SHED,9350 MARKHAM RD,Museum,639226.09220608,4861328.09500949,G4,Rail Pump Car Shed,1926,Markham,Culture,N, 
145,MINI TRAIN STORAGE,9350 MARKHAM RD,Museum,639203.925271362,4861353.5831726,G4,Mini Train Storage,1990,Markham,Asset Management,N, 
146,BRILLINGER SMOKE HOUSE,9350 MARKHAM RD,Museum,639134.30234943,4861501.99630116,G4,Brillinger Smoke House,1876,Markham,Culture,N, 
147,MARKHAM LITTLE THEATRE,9350 MARKHAM RD,Museum,639249.73806905,4861606.91623127,G4,Markham Little Theatre,1978,Markham,Culture,N, 
148,COVER-ALL STORAGE,9350 MARKHAM RD,Museum,639225.365137199,4861602.79516776,G4,Cover-all Storage,2007,Markham,Culture,N, 
149,TRANSPORTATION BUILDING,9350 MARKHAM RD,Museum,639196.78202405,4861593.77626,G4,Transportation Building,1985,Markham,Culture,N, 
150,GARDEN SHED,9350 MARKHAM RD,Museum,639164.908007037,4861591.10502755,G4,Garden Shed,1985,Markham,Culture,N, 
151,MCQUAIG BAKE OVEN/SHELTER,9350 MARKHAM RD,Museum,639286.847618622,4861412.53587754,G4,Mcquaig Bake Oven/Shelter,1855,Markham,Culture,N, 
152,MARKHAM FAIR TICKET BOOTH,9350 MARKHAM RD,Museum,639175.237770477,4861425.68339714,G4,Markham Fair Ticket Booth,1875,Markham,Culture,N, 
153,WOOD SHED,9350 MARKHAM RD,Museum,639158.635729759,4861574.64312915,G4,Wood Shed,1850,Markham,Culture,N, 
154,MUSEUM SHED,9350 MARKHAM RD,Museum,639255.397590574,4861639.59286099,G4,Museum Shed,1978,Markham,Culture,N, 
155,STRICKLER WINDMILL,9350 MARKHAM RD,Museum,639285.096743008,4861370.07002102,G4,Strickler Windmill,1855,Markham,Culture,N, 
156,WINDMILL,9350 MARKHAM RD,Museum,639152.452564924,4861344.59696006,G4,Windmill,1865,Markham,Culture,N, 
162,SOUTHEAST COMMUNITY CENTRE AND LIBRARY,5659 14TH AVE,Community Centre,639386.358105514,4856872.76404131,G7,Southeast Community Centre and Library,2016,Markham,Recreation,N, 
171,MARKHAM MUSEUM - RECEPTION CENTRE,9350 MARKHAM RD,Museum,639349.13808378,4861478.83596691,G4,Markham Museum - Reception Centre,2005,Markham,Culture,N, 
212,THORNLEA POOL,8079 BAYVIEW AVE,Community Centre,628530.252350935,4854224.23956112,B6,Thornlea Pool,1972,Thornhill,Recreation,N, 
