Library_System,Library_Branch,Latitude,Longitude
Markham Public Library,Aaniin Branch,43.852185,-79.266228
Markham Public Library,Angus Glen Branch,43.894467,-79.336159
Markham Public Library,Cornell Branch,43.884316,-79.229445
Markham Public Library,Markham Village Branch,43.873789,-79.258247
Markham Public Library,Milliken Mills Branch,43.839896,-79.305247
Markham Public Library,Thornhill Community Centre Branch,43.819445,-79.400131
Markham Public Library,Thornhill Village Branch,43.81574,-79.423521
Markham Public Library,Unionville Branch,43.869637,-79.310375
